comment_text,toxic,severe_toxicity,obscene,identity_attack,insult,threat
"You're such an idiot, I can't believe they let people like you in this place.",1,0,0,0,1,0
"You piece of trash, you don't deserve to live. Watch your back!",1,1,1,0,1,1
"Get out of here, you're nothing but a disgusting animal.",1,0,0,1,1,0
"I hope you choke on your words and die, worthless scum.",1,1,1,0,1,1
"No one cares about your opinion, you're so irrelevant it's laughable.",1,0,0,0,1,0
"You are the dumbest person I've ever met.",1,0,0,0,1,0
"Go back to where you came from, we don’t want you here.",1,0,0,1,1,0
"Why don't you crawl back to your hole, loser!",1,0,0,0,1,0
"You're a dirty liar and everyone knows it.",1,0,0,0,1,0
"Just shut up already, no one cares about what someone like you thinks.",1,0,0,0,1,0
"I'm going to find you and make sure you regret ever posting that.",1,1,0,0,1,1
"Why do people like you even exist? You’re a waste of space.",1,0,0,0,1,0
"You're such an idiot, why don’t you just leave the internet for good?",1,0,0,0,1,0
"People like you are the reason society is going downhill.",1,0,0,1,0,0
"You dumb [expletive]! Go jump off a bridge.",1,1,1,0,1,1
"Your stupid face makes me want to puke, loser.",1,0,1,0,1,0
"Shut your mouth, no one cares about your kind.",1,0,0,1,1,0
"How can someone so stupid even breathe the same air as the rest of us?",1,0,0,0,1,0
"People like you are why we have so many problems, you're a disgrace.",1,0,0,1,1,0
"If you ever show your face around here, you'll regret it.",1,1,0,0,0,1
"You're a total waste of space. Just leave and never come back.",1,0,0,0,1,0
"I hope someone knocks you out for being this dumb.",1,1,0,0,1,1
"How can anyone be so stupid? You should be embarrassed.",1,0,0,0,1,0
"You're an absolute disgrace to your family and everyone who knows you.",1,0,0,0,1,0
"Why don't you disappear already? No one wants you here.",1,0,0,0,1,0
"You're such a worthless idiot, it's almost funny.",1,0,0,0,1,0
"Don't let me catch you around here again, or else.",1,1,0,0,1,1
"You're disgusting, and everyone knows it.",1,0,0,0,1,0
"You must have been dropped on your head as a baby to be this stupid.",1,0,0,0,1,0
"Nobody likes people like you. Just crawl back into the hole you came from.",1,0,0,1,1,0
"Shut up, nobody cares what you think. You're completely irrelevant.",1,0,0,0,1,0
"I hope your account gets banned. We don't need idiots like you online.",1,0,0,0,1,0
"If you think you can keep this up, you better watch your back.",1,1,0,0,0,1
"You're a pathetic excuse for a human being.",1,0,0,0,1,0
"Nobody cares about your pathetic opinions. Get lost.",1,0,0,0,1,0
"I can't believe people like you exist. You're ruining everything.",1,0,0,1,1,0
"I hope something bad happens to you for being such a jerk.",1,1,0,0,1,1
"Your face is so annoying, I want to punch it.",1,1,0,0,1,0
"Nobody in their right mind would ever respect someone like you.",1,0,0,0,1,0
"You're just another low-life trying to act smart. Pathetic.",1,0,0,0,1,0
